EmployeeID	EmployeeName	StoreID	Department	HireDate
E001	Employee 1	S06	Sales	26/08/2024
E002	Employee 2	S01	Support	18/08/2025
E003	Employee 3	S06	Sales	30/04/2024
E004	Employee 4	S02	Support	8/07/2022
E005	Employee 5	S01	Support	9/02/2021
E006	Employee 6	S11	Support	21/08/2021
E007	Employee 7	S03	Sales	21/03/2023
E008	Employee 8	S08	Operations	22/07/2021
E009	Employee 9	S08	Support	22/01/2020
E010	Employee 10	S02	Sales	14/11/2022
E011	Employee 11	S04	Sales	1/12/2025
E012	Employee 12	S07	Sales	26/03/2023
E013	Employee 13	S04	Support	14/05/2021
E014	Employee 14	S01	Sales	15/09/2024
E015	Employee 15	S11	Operations	15/02/2025
E016	Employee 16	S02	Sales	9/08/2025
E017	Employee 17	S10	Operations	8/03/2020
E018	Employee 18	S11	Operations	17/09/2022
E019	Employee 19	S03	Support	24/10/2024
E020	Employee 20	S01	Operations	16/12/2023
E021	Employee 21	S04	Operations	2/09/2024
E022	Employee 22	S03	Operations	16/12/2020
E023	Employee 23	S09	Support	4/10/2020
E024	Employee 24	S09	Operations	9/09/2025
E025	Employee 25	S09	Operations	24/03/2020
E026	Employee 26	S07	Support	27/06/2020
E027	Employee 27	S11	Support	9/03/2024
E028	Employee 28	S05	Operations	7/03/2020
E029	Employee 29	S06	Sales	13/11/2023
E030	Employee 30	S04	Operations	28/02/2021
E031	Employee 31	S10	Operations	23/09/2023
E032	Employee 32	S03	Sales	14/12/2023
E033	Employee 33	S09	Support	18/12/2021
E034	Employee 34	S11	Support	14/05/2025
E035	Employee 35	S11	Sales	6/07/2021
E036	Employee 36	S02	Operations	17/02/2025
E037	Employee 37	S01	Support	5/04/2022
E038	Employee 38	S01	Sales	20/06/2020
E039	Employee 39	S06	Support	12/10/2025
E040	Employee 40	S07	Operations	23/04/2025
E041	Employee 41	S05	Sales	21/02/2022
E042	Employee 42	S05	Support	14/07/2020
E043	Employee 43	S11	Support	24/01/2023
E044	Employee 44	S02	Support	24/11/2024
E045	Employee 45	S07	Operations	6/12/2024
E046	Employee 46	S07	Support	4/02/2022
E047	Employee 47	S08	Operations	30/07/2025
E048	Employee 48	S06	Operations	28/12/2022
E049	Employee 49	S02	Operations	4/10/2024
E050	Employee 50	S02	Support	9/01/2022
E051	Employee 51	S09	Support	8/08/2023
E052	Employee 52	S02	Sales	5/09/2023
E053	Employee 53	S11	Support	9/06/2023
E054	Employee 54	S08	Operations	11/10/2024
E055	Employee 55	S03	Operations	23/12/2024
E056	Employee 56	S06	Support	22/06/2020
E057	Employee 57	S06	Operations	16/11/2024
E058	Employee 58	S05	Operations	22/08/2020
E059	Employee 59	S02	Operations	21/07/2024
E060	Employee 60	S06	Operations	17/10/2021
E061	Employee 61	S01	Sales	29/11/2024
E062	Employee 62	S01	Sales	2/10/2020
E063	Employee 63	S04	Operations	9/02/2024
E064	Employee 64	S06	Support	12/05/2020
E065	Employee 65	S10	Sales	16/01/2025
E066	Employee 66	S06	Support	23/12/2024
E067	Employee 67	S02	Operations	17/07/2021
E068	Employee 68	S09	Support	18/06/2024
E069	Employee 69	S06	Operations	15/02/2023
E070	Employee 70	S04	Sales	16/04/2020
E071	Employee 71	S03	Support	21/10/2025
E072	Employee 72	S07	Operations	27/04/2021
E073	Employee 73	S05	Support	1/01/2025
E074	Employee 74	S04	Operations	15/03/2023
E075	Employee 75	S08	Sales	17/05/2021
E076	Employee 76	S03	Sales	25/01/2025
E077	Employee 77	S03	Operations	28/12/2024
E078	Employee 78	S02	Operations	2/08/2023
E079	Employee 79	S11	Support	22/09/2020
E080	Employee 80	S09	Operations	4/04/2023
E081	Employee 81	S05	Sales	14/12/2021
E082	Employee 82	S06	Operations	7/07/2022
E083	Employee 83	S02	Sales	22/07/2021
E084	Employee 84	S04	Support	17/04/2020
E085	Employee 85	S06	Operations	20/02/2024
E086	Employee 86	S08	Operations	15/06/2021
E087	Employee 87	S10	Sales	26/09/2020
E088	Employee 88	S05	Support	14/05/2025
E089	Employee 89	S09	Support	4/08/2024
E090	Employee 90	S10	Sales	28/05/2021
E091	Employee 91	S06	Operations	30/10/2020
E092	Employee 92	S08	Support	20/10/2025
E093	Employee 93	S06	Sales	15/01/2022
E094	Employee 94	S03	Support	21/08/2025
E095	Employee 95	S01	Sales	23/10/2025
E096	Employee 96	S03	Support	5/11/2021
E097	Employee 97	S03	Support	12/07/2022
E098	Employee 98	S06	Operations	9/03/2023
E099	Employee 99	S02	Support	15/03/2022
E100	Employee 100	S11	Operations	29/01/2023
E101	Employee 101	S03	Operations	25/05/2023
E102	Employee 102	S10	Operations	17/01/2021
E103	Employee 103	S09	Operations	21/11/2021
E104	Employee 104	S10	Operations	23/09/2021
E105	Employee 105	S03	Operations	14/10/2023
E106	Employee 106	S10	Sales	26/04/2020
E107	Employee 107	S02	Sales	20/12/2022
E108	Employee 108	S11	Sales	2/09/2024
E109	Employee 109	S10	Operations	4/05/2020
E110	Employee 110	S08	Operations	1/04/2023
E111	Employee 111	S11	Support	1/06/2025
E112	Employee 112	S04	Operations	21/07/2024
E113	Employee 113	S05	Support	25/10/2020
E114	Employee 114	S01	Sales	5/12/2024
E115	Employee 115	S07	Support	17/03/2025
E116	Employee 116	S04	Support	11/08/2021
E117	Employee 117	S06	Operations	31/07/2023
E118	Employee 118	S06	Support	19/06/2021
E119	Employee 119	S06	Operations	10/03/2021
E120	Employee 120	S06	Sales	25/03/2025
E121	Employee 121	S02	Support	15/01/2025
E122	Employee 122	S04	Sales	31/01/2021
E123	Employee 123	S01	Support	22/04/2024
E124	Employee 124	S10	Support	13/10/2022
E125	Employee 125	S03	Support	4/07/2023
E126	Employee 126	S04	Sales	2/08/2025
E127	Employee 127	S09	Support	4/08/2025
E128	Employee 128	S05	Support	4/04/2020
E129	Employee 129	S02	Support	1/09/2025
E130	Employee 130	S08	Sales	31/05/2022
E131	Employee 131	S10	Support	18/07/2020
E132	Employee 132	S01	Support	20/07/2025
E133	Employee 133	S10	Operations	11/04/2025
E134	Employee 134	S05	Operations	3/02/2020
E135	Employee 135	S02	Support	2/07/2021
E136	Employee 136	S05	Operations	7/02/2024
E137	Employee 137	S07	Support	4/07/2020
E138	Employee 138	S07	Sales	8/03/2022
E139	Employee 139	S06	Operations	28/03/2023
E140	Employee 140	S02	Support	27/08/2025
E141	Employee 141	S08	Operations	19/02/2023
E142	Employee 142	S10	Operations	1/05/2021
E143	Employee 143	S03	Sales	1/06/2024
E144	Employee 144	S06	Support	6/02/2024
E145	Employee 145	S03	Sales	16/09/2025
E146	Employee 146	S07	Operations	13/06/2020
E147	Employee 147	S01	Sales	15/07/2021
E148	Employee 148	S06	Support	28/10/2025
E149	Employee 149	S08	Sales	12/10/2025
E150	Employee 150	S03	Support	28/07/2023
